name,distance,stellar_magnitude,planet_type,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method,random_angle_rad,stellar_magnitude_scaled
11 Comae Berenices b,304.0,4.72307,Gas Giant,2007,19.4,Jupiter,1.08,Jupiter,1.29,0.8925394,0.23,Radial Velocity,0.7017492599165301,0.9119513923819105
11 Ursae Minoris b,409.0,5.013,Gas Giant,2009,14.74,Jupiter,1.09,Jupiter,1.53,1.4,0.08,Radial Velocity,2.527839698795367,0.9053226027710458
14 Andromedae b,246.0,5.23133,Gas Giant,2008,4.8,Jupiter,1.15,Jupiter,0.83,0.5086927,0.0,Radial Velocity,1.6981854988464955,0.9003308336000732
14 Herculis b,58.0,6.61935,Gas Giant,2002,8.13881,Jupiter,1.12,Jupiter,2.773069,4.8,0.37,Radial Velocity,1.5570161269741507,0.868595957748411
16 Cygni B b,69.0,6.215,Gas Giant,1996,1.78,Jupiter,1.2,Jupiter,1.66,2.2,0.68,Radial Velocity,5.249259955391261,0.8778407791851478
17 Scorpii b,408.0,5.22606,Gas Giant,2020,4.32,Jupiter,1.15,Jupiter,1.45,1.6,0.06,Radial Velocity,6.244162193138546,0.9004513237916685
18 Delphini b,249.0,5.51048,Gas Giant,2008,10.3,Jupiter,1.11,Jupiter,2.6,2.7,0.08,Radial Velocity,2.8859111281989045,0.8939485115917508
1RXS J160929.1-210524 b,454.0,12.618,Gas Giant,2008,8.0,Jupiter,1.664,Jupiter,330.0,6505.9,0.0,Direct Imaging,2.4528212408277446,0.7314463395674241
24 Bootis b,313.0,5.59,Gas Giant,2018,0.91,Jupiter,1.24,Jupiter,0.19,0.08323066,0.04,Radial Velocity,4.019500002724332,0.8921304129132561
24 Sextantis b,235.0,6.4535,Gas Giant,2010,1.99,Jupiter,1.19,Jupiter,1.333,1.2396988,0.09,Radial Velocity,2.0561082654987914,0.8723878549545019
24 Sextantis c,235.0,6.4535,Gas Giant,2010,0.86,Jupiter,1.24,Jupiter,2.08,2.4,0.29,Radial Velocity,3.2625526376911242,0.8723878549545019
2M0437 b,419.0,16.186,Gas Giant,2021,4.0,Jupiter,1.16,Jupiter,118.0,3110.6,0.0,Direct Imaging,3.769055038093841,0.6498696785403997
2MASS J01033563-5515561 AB b,154.0,15.788,Gas Giant,2013,13.0,Jupiter,1.1,Jupiter,84.0,1767.2,0.0,Direct Imaging,2.27018870841701,0.658969317298459
2MASS J01225093-2439505 b,110.0,14.244,Gas Giant,2013,24.5,Jupiter,1.0,Jupiter,52.0,593.2,0.0,Direct Imaging,5.637653461108169,0.6942704284603777
2MASS J02192210-3925225 b,131.0,,Gas Giant,2015,13.9,Jupiter,1.44,Jupiter,156.0,5878.1,0.0,Direct Imaging,6.263309059055983,
2MASS J04414489+2301513 b,393.0,,Gas Giant,2010,7.5,Jupiter,1.13,Jupiter,15.0,411.0,0.0,Direct Imaging,5.84297988950488,
2MASS J12073346-3932539 b,210.0,20.15,Gas Giant,2004,5.0,Jupiter,1.15,Jupiter,55.0,2885.9,0.0,Direct Imaging,0.6278272160601305,0.5592391055832457
2MASS J19383260+4603591 b,1293.0,12.651,Gas Giant,2015,1.9,Jupiter,1.2,Jupiter,0.92,1.1115674,0.33,Eclipse Timing Variations,1.752621854672662,0.7306918469065801
2MASS J22362452+4751425 b,227.0,12.368,Gas Giant,2016,12.5,Jupiter,1.1,Jupiter,230.0,4505.7,0.0,Direct Imaging,4.266370704956912,0.7371621930586675
30 Arietis B b,146.0,7.09209,Gas Giant,2009,13.82,Jupiter,1.1,Jupiter,0.99,0.9174538,0.29,Radial Velocity,1.0812543922031044,0.8577875074306096
42 Draconis b,296.0,4.8262,Gas Giant,2008,3.88,Jupiter,1.16,Jupiter,1.19,1.3117043,0.38,Radial Velocity,1.5134836800528555,0.9095934884997028
47 Ursae Majoris b,45.0,5.03352,Gas Giant,1996,2.53,Jupiter,1.18,Jupiter,2.1,3.0,0.03,Radial Velocity,3.2707637060911448,0.9048534455164845
47 Ursae Majoris c,45.0,5.03352,Gas Giant,2001,0.54,Jupiter,1.27,Jupiter,3.6,6.6,0.1,Radial Velocity,0.3903816086538677,0.9048534455164845
47 Ursae Majoris d,45.0,5.03352,Gas Giant,2009,1.64,Jupiter,1.2,Jupiter,11.6,38.4,0.16,Radial Velocity,0.5660273200988141,0.9048534455164845
4 Ursae Majoris b,240.0,4.5801,Gas Giant,2006,7.1,Jupiter,1.13,Jupiter,0.87,0.7373032,0.43,Radial Velocity,5.295285424999194,0.9152201746764826
51 Eridani b,97.0,5.21149,Gas Giant,2015,2.0,Jupiter,1.19,Jupiter,13.2,32.0,0.45,Direct Imaging,2.969380453397288,0.9007844437331383
51 Pegasi b,50.0,5.45309,Gas Giant,1995,0.46,Jupiter,1.27,Jupiter,0.0527,0.011498973,0.01,Radial Velocity,3.992359758542795,0.8952606429192006
55 Cancri b,41.0,5.95084,Gas Giant,1996,0.8306,Jupiter,1.24,Jupiter,0.1134,0.040246405,0.0,Radial Velocity,2.8720404453181367,0.8838803786181353
55 Cancri c,41.0,5.95084,Gas Giant,2004,0.1714,Jupiter,0.76,Jupiter,0.2373,0.12156058,0.03,Radial Velocity,0.9430916401609593,0.8838803786181353
55 Cancri d,41.0,5.95084,Gas Giant,2002,3.878,Jupiter,1.16,Jupiter,5.957,15.3,0.13,Radial Velocity,4.930532436472215,0.8838803786181353
55 Cancri e,41.0,5.95084,Super Earth,2004,7.99,Earth,1.875,Earth,0.01544,0.0019164955,0.05,Radial Velocity,4.2199915003065405,0.8838803786181353
55 Cancri f,41.0,5.95084,Gas Giant,2007,0.141,Jupiter,0.677,Jupiter,0.7708,0.7115674,0.08,Radial Velocity,5.072667136354603,0.8838803786181353
61 Virginis b,28.0,4.6955,Neptune-like,2009,5.1,Earth,2.11,Earth,0.050201,0.011498973,0.12,Radial Velocity,5.732469292612223,0.9125817367049247
61 Virginis c,28.0,4.6955,Neptune-like,2009,18.2,Earth,0.398,Jupiter,0.2175,0.10403833,0.14,Radial Velocity,0.16331990165568303,0.9125817367049247
61 Virginis d,28.0,4.6955,Neptune-like,2009,22.9,Earth,0.456,Jupiter,0.476,0.33675563,0.35,Radial Velocity,5.99218950155404,0.9125817367049247
6 Lyncis b,178.0,5.87307,Gas Giant,2008,2.01,Jupiter,1.19,Jupiter,2.11,2.6,0.07,Radial Velocity,5.807084089912951,0.8856584663221913
