name,distance,stellar_magnitude,planet_type,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method,random_angle_rad,stellar_magnitude_scaled
70 Virginis b,58.0,4.96808,Gas Giant,1996,7.49,Jupiter,1.13,Jupiter,0.481,0.31950718,0.4,Radial Velocity,5.319025678101292,0.9063496273263524
75 Ceti b,271.0,5.3532,Gas Giant,2012,3.0,Jupiter,1.17,Jupiter,2.1,1.9,0.12,Radial Velocity,0.719715206228095,0.8975444693401619
7 Canis Majoris b,65.0,3.95,Gas Giant,2011,1.85,Jupiter,1.2,Jupiter,1.758,2.0,0.06,Radial Velocity,5.203558512039387,0.9296264118158123
7 Canis Majoris c,65.0,3.95,Gas Giant,2019,0.87,Jupiter,1.24,Jupiter,2.153,2.7,0.08,Radial Velocity,5.820584036400257,0.9296264118158123
81 Ceti b,330.0,5.64307,Gas Giant,2008,5.3,Jupiter,1.14,Jupiter,2.5,2.6,0.21,Radial Velocity,3.073170276857107,0.890917051534135
8 Ursae Minoris b,530.0,6.83295,Gas Giant,2015,1.31,Jupiter,1.22,Jupiter,0.49,0.25571528,0.06,Radial Velocity,1.4151004355127201,0.8637123325254927
91 Aquarii b,144.0,4.23946,Gas Giant,2013,3.2,Jupiter,1.17,Jupiter,0.7,0.4966461,0.03,Radial Velocity,3.6005296741344996,0.9230083680095111
AB Aurigae b,529.0,7.076,Gas Giant,2022,9.0,Jupiter,1.12,Jupiter,93.9,587.7,0.4,Direct Imaging,2.94551236550701,0.858155379761306
AB Pictoris b,163.0,9.13,Gas Giant,2005,13.5,Jupiter,1.1,Jupiter,260.0,4421.7,0.0,Direct Imaging,2.490191918224268,0.8111939274772508
Alpha Arietis b,66.0,2.00538,Gas Giant,2010,1.8,Jupiter,1.2,Jupiter,1.2,1.0425736,0.25,Radial Velocity,3.6075724597142593,0.9740870638803786
Alpha Tauri b,67.0,0.872,Gas Giant,2015,6.47,Jupiter,1.13,Jupiter,1.46,1.7,0.1,Radial Velocity,5.70087403219389,1.0
AU Microscopii b,32.0,8.81,Neptune-like,2020,20.12,Earth,0.363,Jupiter,0.0645,0.023271732,0.19,Transit,4.6601969555092735,0.8185102199460423
AU Microscopii c,32.0,8.81,Neptune-like,2021,9.6,Earth,0.289,Jupiter,0.1101,0.051745377,0.04,Transit,2.3531676619874182,0.8185102199460423
b Centauri AB b,320.0,4.01,Gas Giant,2021,10.9,Jupiter,1.11,Jupiter,556.0,4904.1,0.4,Direct Imaging,3.6442682192229845,0.928254606977914
BD-00 4475 b,139.0,9.01,Gas Giant,2021,25.05,Jupiter,1.07,Jupiter,1.48,2.0,0.39,Radial Velocity,2.6036923489802084,0.8139375371530477
BD+03 2562 b,3492.0,9.577,Gas Giant,2017,6.4,Jupiter,1.13,Jupiter,1.3,1.3193703,0.2,Radial Velocity,4.5783326854409,0.800973981434908
BD-06 1339 b,66.0,9.7,Neptune-like,2013,8.5,Earth,0.254,Jupiter,0.0428,0.010677618,0.0,Radial Velocity,4.956364141167706,0.7981617815172161
BD-06 1339 c,66.0,9.7,Gas Giant,2013,0.17,Jupiter,0.747,Jupiter,0.435,0.34469542,0.31,Radial Velocity,1.1212651335410084,0.7981617815172161
BD-08 2823 b,135.0,9.86,Neptune-like,2009,12.7132,Earth,0.322,Jupiter,0.06,0.015331964,0.15,Radial Velocity,3.211516490013713,0.7945036352828204
BD-08 2823 c,135.0,9.86,Gas Giant,2009,0.33,Jupiter,1.11,Jupiter,0.68,0.65051335,0.19,Radial Velocity,3.050425816977974,0.7945036352828204
BD-10 3166 b,275.0,10.013,Gas Giant,2000,0.59,Jupiter,1.26,Jupiter,0.04,0.009582478,0.02,Radial Velocity,3.4809531608805875,0.7910055329461796
BD-11 4672 b,89.0,10.03,Gas Giant,2014,0.65,Jupiter,1.25,Jupiter,2.36,4.5,0.05,Radial Velocity,2.210273066637943,0.790616854908775
BD-11 4672 c,89.0,10.03,Neptune-like,2020,15.37,Earth,0.36,Jupiter,0.3,0.20314851,0.4,Radial Velocity,5.319585638853835,0.790616854908775
BD-13 2130 b,3018.0,10.038,Gas Giant,2007,9.78,Jupiter,1.11,Jupiter,1.66,2.0,0.21,Radial Velocity,0.35327416376173665,0.7904339475970552
BD+14 4559 b,161.0,9.78,Gas Giant,2009,1.04,Jupiter,1.23,Jupiter,0.78,0.7362081,0.29,Radial Velocity,4.853123017513526,0.7963327084000182
BD+15 2375 b,2505.0,10.41,Gas Giant,2016,1.061,Jupiter,1.23,Jupiter,0.576,0.41943872,0.0,Radial Velocity,3.649661730072042,0.7819287576020852
BD+15 2940 b,1391.0,9.01,Gas Giant,2013,1.11,Jupiter,1.23,Jupiter,0.539,0.37645447,0.26,Radial Velocity,1.7719220442870176,0.8139375371530477
BD-17 63 b,112.0,9.62,Gas Giant,2008,5.1,Jupiter,1.15,Jupiter,1.34,1.8,0.54,Radial Velocity,1.8175585993021555,0.7999908546344141
BD+20 2457 b,5023.0,9.743,Gas Giant,2009,55.59,Jupiter,1.03,Jupiter,1.05,1.0392882,0.15,Radial Velocity,6.08585133982822,0.7971786547167222
BD+20 2457 c,5023.0,9.743,Gas Giant,2009,12.47,Jupiter,1.1,Jupiter,2.01,1.7,0.18,Radial Velocity,1.5012796717610468,0.7971786547167222
BD+20 274 b,4314.0,9.367,Gas Giant,2012,4.2,Jupiter,1.16,Jupiter,1.3,1.6,0.21,Radial Velocity,4.859465845664391,0.8057752983675521
BD+20 594 b,585.0,10.849,Neptune-like,2016,22.2481,Earth,0.23,Jupiter,0.241,0.11416838,0.0,Transit,6.278354178341257,0.7718917188714618
BD+45 564 b,175.0,9.67,Gas Giant,2021,1.36,Jupiter,1.21,Jupiter,0.83,0.84298426,0.12,Radial Velocity,5.507889679504012,0.7988476839361653
BD+48 738 b,2843.0,9.139,Gas Giant,2011,0.91,Jupiter,1.24,Jupiter,1.0,1.0748802,0.2,Radial Velocity,5.331516345251931,0.8109881567515662
BD+48 740 b,2174.0,8.69,Gas Giant,2018,1.7,Jupiter,1.2,Jupiter,1.7,2.0,0.76,Radial Velocity,0.8639889436066455,0.8212538296218391
BD+49 828 b,1442.0,9.381,Gas Giant,2015,1.6,Jupiter,1.21,Jupiter,4.2,7.1,0.35,Radial Velocity,0.3549775379426569,0.8054552105720426
BD+55 362 b,171.0,9.38,Gas Giant,2021,0.72,Jupiter,1.25,Jupiter,0.78,0.7271732,0.27,Radial Velocity,2.0795726168445943,0.8054780739860076
BD+60 1417 b,147.0,9.374,Gas Giant,2021,15.0,Jupiter,1.31,Jupiter,1662.0,67794.6,0.0,Direct Imaging,1.0739872420433045,0.8056152544697974
BD+63 1405 b,124.0,8.96,Gas Giant,2021,3.96,Jupiter,1.16,Jupiter,2.06,3.3,0.88,Radial Velocity,4.886821342622381,0.8150807078512964
Beta Cancri b,290.0,3.51012,Gas Giant,2014,7.8,Jupiter,1.12,Jupiter,1.7,1.7,0.08,Radial Velocity,6.198796826170999,0.9396835703507248
Beta Pictoris b,64.0,3.85,Gas Giant,2008,11.73313,Jupiter,1.65,Jupiter,10.019926,23.6,0.11,Direct Imaging,3.9926959892239644,0.9319127532123096
Beta Pictoris c,64.0,3.85,Gas Giant,2019,10.14112,Jupiter,1.11,Jupiter,2.680483,3.3,0.31,Radial Velocity,0.6986350372543612,0.9319127532123096
Beta Ursae Minoris b,126.0,2.0569,Gas Giant,2014,6.1,Jupiter,1.14,Jupiter,1.4,1.4,0.19,Radial Velocity,3.7080441490730864,0.9729091407929032
CD Ceti b,28.0,13.95,Super Earth,2020,3.95,Earth,1.82,Earth,0.0185,0.0062970566,0.0,Radial Velocity,0.016193191308110262,0.7009922721660798
CFBDSIR J145829+101343 b,75.0,,Gas Giant,2011,10.5,Jupiter,1.11,Jupiter,2.6,27.5,0.0,Direct Imaging,4.92980977108595,
CFHTWIR-Oph 98 b,,,Gas Giant,2021,7.8,Jupiter,1.86,Jupiter,200.0,22027.4,0.0,Direct Imaging,3.3708814522288413,
CHXR 73 b,621.0,,Gas Giant,2006,12.569,Jupiter,1.1,Jupiter,210.0,5146.9,0.0,Direct Imaging,3.6490071847835073,
CI Tauri b,515.0,13.642,Gas Giant,2019,11.6,Jupiter,1.11,Jupiter,,0.024640657,0.25,Radial Velocity,1.1641788177104064,0.7080342036672916
COCONUTS-2 b,36.0,11.298,Gas Giant,2021,6.3,Jupiter,1.11,Jupiter,7506.0,1101369.9,0.0,Direct Imaging,6.232834228295182,0.7616260460011889
CoRoT-10 b,1104.0,15.293,Gas Giant,2010,2.75,Jupiter,0.97,Jupiter,0.1055,0.03613963,0.53,Transit,3.080900108158386,0.6702867072111208
CoRoT-11 b,2137.0,12.897,Gas Giant,2010,2.33,Jupiter,1.43,Jupiter,0.0436,0.008213553,0.0,Transit,2.54362939605975,0.7250674470711967
CoRoT-12 b,3674.0,15.588,Gas Giant,2010,0.917,Jupiter,1.44,Jupiter,0.04016,0.007665982,0.07,Transit,1.6306093181021473,0.6635420000914536
CoRoT-13 b,3748.0,15.005,Gas Giant,2010,1.308,Jupiter,0.885,Jupiter,0.051,0.0109514035,0.0,Transit,4.886673488491619,0.676871370433033
CoRoT-14 b,5691.0,15.932,Gas Giant,2010,7.6,Jupiter,1.09,Jupiter,0.027,0.0041067763,0.0,Transit,4.862967003343087,0.6556769856875028
CoRoT-16 b,2389.0,16.052,Gas Giant,2011,0.535,Jupiter,1.17,Jupiter,0.0618,0.014784395,0.33,Transit,2.94126862993482,0.6529333760117061
CoRoT-17 b,3837.0,16.29,Gas Giant,2011,2.43,Jupiter,1.02,Jupiter,0.0461,0.010403832,0.0,Transit,1.9040280645330765,0.6474918834880424
CoRoT-18 b,2495.0,14.868,Gas Giant,2011,3.47,Jupiter,1.31,Jupiter,0.0295,0.005201916,0.08,Transit,5.362704300171716,0.6800036581462343
CoRoT-19 b,2579.0,14.135,Gas Giant,2011,1.11,Jupiter,1.29,Jupiter,0.0518,0.010677618,0.05,Transit,4.409528577948578,0.6967625405825598
CoRoT-1 b,2570.0,13.623,Gas Giant,2008,1.03,Jupiter,1.49,Jupiter,0.02752,0.0041067763,0.0,Transit,4.61105760495889,0.7084686085326262
CoRoT-20 b,2753.0,14.63,Gas Giant,2011,4.3,Jupiter,0.84,Jupiter,0.09,0.025188226,0.59,Transit,5.970269615370673,0.685445150669898
CoRoT-20 c,2753.0,14.63,Gas Giant,2018,17.0,Jupiter,1.09,Jupiter,2.9,4.6,0.6,Radial Velocity,1.806477957290629,0.685445150669898
CoRoT-21 b,4563.0,16.058,Gas Giant,2012,2.26,Jupiter,1.3,Jupiter,0.0417,0.0073921974,0.0,Transit,5.799857078018328,0.6527961955279162
CoRoT-22 b,2046.0,13.82,Neptune-like,2014,12.2,Earth,0.435,Jupiter,0.092,0.026830938,0.08,Transit,0.34296553459787166,0.7039645159815263
CoRoT-23 b,3461.0,15.675,Gas Giant,2011,2.8,Jupiter,1.05,Jupiter,0.048,0.009856262,0.16,Transit,0.5262668130432715,0.661552883076501
CoRoT-24 b,1930.0,15.383,Neptune-like,2014,5.7,Earth,0.33,Jupiter,0.056,0.013963039,0.0,Transit,2.78392559533904,0.6682289999542732
CoRoT-24 c,1930.0,15.383,Neptune-like,2014,28.0,Earth,0.44,Jupiter,0.098,0.03230664,0.0,Transit,4.1064564511149575,0.6682289999542732
CoRoT-25 b,3600.0,14.79,Gas Giant,2013,0.27,Jupiter,1.08,Jupiter,0.0578,0.013415469,0.0,Transit,6.146986556269754,0.6817870044355023
CoRoT-26 b,3409.0,15.861,Gas Giant,2013,0.52,Jupiter,1.26,Jupiter,0.0526,0.011498973,0.0,Transit,2.149094552761883,0.657300288079016
CoRoT-27 b,3296.0,15.774,Gas Giant,2014,10.39,Jupiter,1.007,Jupiter,0.0476,0.009856262,0.065,Transit,1.5711902366462813,0.6592894050939686
CoRoT-28 b,2499.0,13.783,Gas Giant,2015,0.484,Jupiter,0.955,Jupiter,0.0603,0.014236824,0.05,Transit,3.1232267894417896,0.7048104622982303
CoRoT-29 b,2631.0,15.408,Gas Giant,2015,0.85,Jupiter,0.9,Jupiter,0.0386,0.007939767,0.08,Transit,3.88598562492514,0.6676574146051488
CoRoT-2 b,696.0,12.516,Gas Giant,2008,3.47,Jupiter,1.466,Jupiter,0.02798,0.0046543465,0.01,Transit,1.523135343489037,0.7337784077918516
CoRoT-30 b,3367.0,15.571,Gas Giant,2020,2.9,Jupiter,1.009,Jupiter,0.0844,0.024914443,0.01,Transit,0.2651165084647757,0.6639306781288582
CoRoT-31 b,6543.0,15.479,Gas Giant,2020,0.84,Jupiter,1.46,Jupiter,0.0586,0.012594113,0.02,Transit,0.36018450098829385,0.6660341122136357
CoRoT-35 b,3664.0,15.635,Gas Giant,2022,1.1,Jupiter,1.68,Jupiter,0.0429,0.008761123,0.0,Transit,3.0314359991904687,0.6624674196350999
CoRoT-36 b,3020.0,13.126,Gas Giant,2022,0.68,Jupiter,1.41,Jupiter,0.066,0.015331964,0.0,Transit,1.3507240603079895,0.7198317252732178
CoRoT-3 b,2508.0,13.448,Gas Giant,2008,21.66,Jupiter,1.01,Jupiter,0.05783,0.011772759,0.0,Transit,3.3972426537594904,0.7124697059764964
CoRoT-4 b,2370.0,13.652,Gas Giant,2008,0.72,Jupiter,1.19,Jupiter,0.09,0.025188226,0.0,Transit,1.756235263927147,0.7078055695276418
CoRoT-5 b,2879.0,14.043,Gas Giant,2009,0.467,Jupiter,1.388,Jupiter,0.04947,0.0109514035,0.09,Transit,1.4574877639322723,0.6988659746673374
CoRoT-6 b,2105.0,13.961,Gas Giant,2009,2.96,Jupiter,1.166,Jupiter,0.0855,0.02436687,0.1,Transit,2.597002552293695,0.7007407746124652
CoRoT-7 b,522.0,11.728,Super Earth,2009,4.07661,Earth,1.681,Earth,0.017016,0.0024640656,0.0,Transit,4.733137553406301,0.7517947779962504
CoRoT-7 c,522.0,11.728,Neptune-like,2009,8.4,Earth,0.253,Jupiter,0.046,0.010130048,0.0,Radial Velocity,5.199253716188506,0.7517947779962504
CoRoT-7 d,522.0,11.728,Neptune-like,2022,17.142,Earth,0.384,Jupiter,,0.024640657,0.0,Radial Velocity,0.711292863723936,0.7517947779962504
CoRoT-8 b,1050.0,14.792,Gas Giant,2010,0.22,Jupiter,0.57,Jupiter,0.063,0.016974675,0.0,Transit,2.65048704032962,0.6817412776075723
CoRoT-9 b,1347.0,13.637,Gas Giant,2009,0.84,Jupiter,1.066,Jupiter,0.4021,0.2609172,0.13,Transit,6.125334956083342,0.7081485207371164
CoRoTID 223977153 b,1881.0,13.626,Gas Giant,2017,0.15,Jupiter,0.57,Jupiter,0.071,0.0183436,0.0,Transit,0.8417022988835793,0.7084000182907312
CT Chamaleontis b,622.0,12.335,Gas Giant,2007,17.0,Jupiter,2.2,Jupiter,440.0,0.99931556,0.0,Direct Imaging,1.2885159046639418,0.7379166857195116
DE Canum Venaticorum b,100.0,12.956,Gas Giant,2018,12.0293,Jupiter,1.1,Jupiter,5.75,11.2,0.0,Eclipse Timing Variations,3.637728731657588,0.7237185056472633
DENIS-P J082303.1-491201 b,68.0,,Gas Giant,2013,28.5,Jupiter,1.06,Jupiter,0.36,0.67460644,0.35,Astrometry,3.71885011909976,
DH Tauri b,440.0,13.98,Gas Giant,2004,11.0,Jupiter,2.7,Jupiter,330.0,10441.5,0.0,Direct Imaging,4.04488992944409,0.7003063697471307
DMPP-1 b,204.0,7.98,Neptune-like,2019,24.27,Earth,0.472,Jupiter,0.1462,0.050924025,0.083,Radial Velocity,5.762298213261441,0.83748685353697
DMPP-1 c,204.0,7.98,Neptune-like,2019,9.6,Earth,0.273,Jupiter,0.0733,0.018069815,0.057,Radial Velocity,5.968712258696433,0.83748685353697
DMPP-1 d,204.0,7.98,Super Earth,2019,3.35,Earth,1.65,Earth,0.0422,0.007939767,0.07,Radial Velocity,4.851062683785037,0.83748685353697
DMPP-1 e,204.0,7.98,Super Earth,2019,4.13,Earth,1.86,Earth,0.0651,0.015058179,0.07,Radial Velocity,2.6046823840299735,0.83748685353697
DMPP-2 b,450.0,8.57,Gas Giant,2019,0.437,Jupiter,1.28,Jupiter,0.0664,0.014236824,0.08,Radial Velocity,0.9881260958220408,0.8239974392976359
DMPP-3 A b,148.0,9.066,Super Earth,2019,2.58,Earth,1.41,Earth,0.0662,0.0183436,0.14,Radial Velocity,2.1508321547988087,0.8126571859710091
DP Leonis b,997.0,18.6837,Gas Giant,2009,6.28,Jupiter,1.14,Jupiter,8.19,28.0,0.39,Eclipse Timing Variations,2.969495290856119,0.5927637294800859
DS Tucanae A b,144.0,8.17,Neptune-like,2019,1.3,Jupiter,0.509,Jupiter,,0.022176592,0.0,Transit,3.1148350385929464,0.8331428048836251
EPIC 201170410.02,437.0,17.6984,Super Earth,2020,1.15,Earth,1.047,Earth,0.0349,0.018617386,0.0,Transit,0.6379941047168094,0.6152910512597741
EPIC 201238110 b,520.0,16.014,Super Earth,2019,4.16,Earth,1.87,Earth,,0.077207394,0.0,Transit,5.429603612327477,0.653802185742375
EPIC 201427007 b,2304.0,14.321,Super Earth,2021,2.86,Earth,1.5,Earth,,0.0019164955,0.0,Transit,2.321960919300145,0.6925099455850748
EPIC 201497682 b,825.0,13.948,Terrestrial,2019,0.26,Earth,0.692,Earth,,0.0057494864,0.0,Transit,1.3336429403534997,0.7010379989940098
EPIC 201595106 b,757.0,11.746,Super Earth,2021,2.24,Earth,1.3,Earth,,0.0024640656,0.0,Transit,4.05660954075332,0.7513832365448808
EPIC 201615463 c,1556.0,12.081,Super Earth,2019,1.98,Earth,1.22,Earth,,0.010403832,0.0,Transit,3.08253523376516,0.7437239928666147
EPIC 201754305 d,1093.0,14.668,Super Earth,2019,1.08,Earth,1.03,Earth,,0.0073921974,0.0,Transit,5.427485655473384,0.684576340939229
EPIC 201757695.02,1884.0,14.974,Terrestrial,2020,0.688,Earth,0.908,Earth,0.0296,0.0054757018,0.0,Transit,2.4201280300531716,0.6775801362659473
EPIC 201833600 c,840.0,14.705,Terrestrial,2019,0.972,Earth,1.0,Earth,,0.0109514035,0.0,Transit,5.333761047142077,0.683730394622525
EPIC 201841433 b,1424.0,14.983,Super Earth,2019,1.12,Earth,1.04,Earth,0.035,0.011498973,0.0,Transit,1.0070406750696843,0.6773743655402624
EPIC 205950854 c,796.0,12.365,Super Earth,2019,2.27,Earth,1.31,Earth,,0.022176592,0.0,Transit,3.0394822012890637,0.7372307833005624
EPIC 206024342 b,1207.0,13.096,Super Earth,2019,3.53,Earth,1.7,Earth,,0.0123203285,0.0,Transit,2.989233946930465,0.720517627692167
EPIC 206024342 c,1207.0,13.096,Super Earth,2021,2.54,Earth,1.4,Earth,,0.0024640656,0.0,Transit,4.275219734409337,0.720517627692167
EPIC 206024342 d,1207.0,13.096,Neptune-like,2021,7.27,Earth,0.232,Jupiter,,0.039972622,0.0,Transit,3.5229380434236965,0.720517627692167
EPIC 206032309 b,526.0,17.89,Super Earth,2019,1.01,Earth,1.01,Earth,,0.007939767,0.0,Transit,0.2347032484023092,0.6109104211440852
EPIC 206042996 b,1474.0,16.59,Super Earth,2019,3.53,Earth,1.7,Earth,,0.01451061,0.0,Transit,2.8252518163262237,0.6406328592985504
EPIC 206042996 c,1474.0,16.59,Super Earth,2021,1.87,Earth,1.2,Earth,,0.0010951404,0.0,Transit,2.3342796605518847,0.6406328592985504
EPIC 206215704 b,358.0,17.83,Terrestrial,2019,0.972,Earth,1.0,Earth,,0.0062970566,0.0,Transit,3.317272209104009,0.6122822259819837
EPIC 206317286 b,1025.0,14.005,Terrestrial,2019,0.84,Earth,0.96,Earth,,0.0043805614,0.0,Transit,5.578876286899331,0.6997347843980063
EPIC 206317286 c,1025.0,14.005,Super Earth,2022,5.03,Earth,2.094,Earth,,0.04791239,0.0,Transit,3.496082816633788,0.6997347843980063
EPIC 211822797 b,607.0,15.133,Super Earth,2016,4.35,Earth,1.92,Earth,0.1195,0.05804244,0.06,Transit,1.9360680160845039,0.6739448534455165
EPIC 211945201 b,593.0,10.154,Neptune-like,2018,27.0,Earth,0.514,Jupiter,0.1493,0.05338809,0.0,Transit,2.075871017977167,0.7877817915771184
EPIC 212297394 b,1365.0,14.611,Super Earth,2019,2.79,Earth,1.48,Earth,,0.0062970566,0.0,Transit,1.4901785207161473,0.6858795555352325
EPIC 212297394 c,1365.0,14.611,Neptune-like,2016,5.77,Earth,0.203,Jupiter,,0.014236824,0.0,Transit,1.5969257713602294,0.6858795555352325
EPIC 212424622 b,1996.0,13.441,Neptune-like,2019,5.35,Earth,2.17,Earth,,0.0495551,0.0,Transit,1.7678754598196078,0.7126297498742512
EPIC 212499991 b,924.0,13.672,Super Earth,2019,3.19,Earth,1.6,Earth,,0.095551,0.0,Transit,1.8196478863102594,0.7073483012483424
EPIC 212587672 b,1044.0,12.488,Super Earth,2019,2.13,Earth,1.26,Earth,,0.041889116,0.0,Transit,0.4874980638641446,0.7344185833828707
EPIC 212587672 c,1044.0,12.488,Neptune-like,2016,5.99,Earth,0.207,Jupiter,,0.06351814,0.0,Transit,4.634590059705245,0.7344185833828707
EPIC 212624936 b,1833.0,13.976,Super Earth,2021,1.87,Earth,1.2,Earth,,0.0016427105,0.0,Transit,3.913249573979455,0.7003978234029905
