Company,Location,Date,Rocket,Mission,RocketStatus,MissionStatus,Latitude,Longitude,Country
RVSN USSR,Site 1/5; Baikonur Cosmodrome; Kazakhstan,1957-10-04,Sputnik 8K71PS,Sputnik-1,Retired,Success,45.965,63.305, Kazakhstan
RVSN USSR,Site 1/5; Baikonur Cosmodrome; Kazakhstan,1957-11-03,Sputnik 8K71PS,Sputnik-2,Retired,Success,45.965,63.305, Kazakhstan
US Navy,LC-18A; Cape Canaveral AFS; Florida; USA,1957-12-06,Vanguard,Vanguard TV3,Retired,Failure,28.3922,-80.6077, USA
AMBA,LC-26A; Cape Canaveral AFS; Florida; USA,1958-02-01,Juno I,Explorer 1,Retired,Success,28.3922,-80.6077, USA
US Navy,LC-18A; Cape Canaveral AFS; Florida; USA,1958-02-05,Vanguard,Vanguard TV3BU,Retired,Failure,28.3922,-80.6077, USA
AMBA,LC-26A; Cape Canaveral AFS; Florida; USA,1958-03-05,Juno I,Explorer 2,Retired,Failure,28.3922,-80.6077, USA
US Navy,LC-18A; Cape Canaveral AFS; Florida; USA,1958-03-17,Vanguard,Vanguard 1,Retired,Success,28.3922,-80.6077, USA
AMBA,LC-5; Cape Canaveral AFS; Florida; USA,1958-03-26,Juno I,Explorer 3,Retired,Success,28.3922,-80.6077, USA
RVSN USSR,Site 1/5; Baikonur Cosmodrome; Kazakhstan,1958-04-27,Sputnik 8A91,Sputnik-3 #1,Retired,Failure,45.965,63.305, Kazakhstan
US Navy,LC-18A; Cape Canaveral AFS; Florida; USA,1958-04-28,Vanguard,Vanguard TV5,Retired,Failure,28.3922,-80.6077, USA
RVSN USSR,Site 1/5; Baikonur Cosmodrome; Kazakhstan,1958-05-15,Sputnik 8A91,Sputnik-3 #2,Retired,Success,45.965,63.305, Kazakhstan
US Navy,LC-18A; Cape Canaveral AFS; Florida; USA,1958-05-28,Vanguard,Vanguard SLV-1,Retired,Failure,28.3922,-80.6077, USA
US Navy,LC-18A; Cape Canaveral AFS; Florida; USA,1958-06-26,Vanguard,Vanguard SLV-2,Retired,Failure,28.3922,-80.6077, USA
US Navy,Douglas F4D Skyray; Naval Air Station Point Mugu; California; USA,1958-07-25,NOTS-EV-1 Pilot II,Pilot-1 (D1),Retired,Failure,34.1203,-119.1201, USA
AMBA,LC-5; Cape Canaveral AFS; Florida; USA,1958-07-26,Juno I,Explorer 4,Retired,Success,28.3922,-80.6077, USA
